time,open,high,low,close,Basis,Upper,Volume
2020-12-07T09:00:00+08:00,1.99,2,1.98,1.99,NaN,NaN,1255300
2020-12-07T09:10:00+08:00,1.99,1.99,1.98,1.99,NaN,NaN,260200
2020-12-07T09:20:00+08:00,1.99,2,1.98,1.99,NaN,NaN,653500
2020-12-07T09:30:00+08:00,1.99,2.01,1.99,2.01,NaN,NaN,415600
2020-12-07T09:40:00+08:00,2,2.01,1.99,2,NaN,NaN,447100
2020-12-07T09:50:00+08:00,2,2.01,2,2.01,NaN,NaN,438800
2020-12-07T10:00:00+08:00,2,2.01,2,2,NaN,NaN,338800
2020-12-07T10:10:00+08:00,2,2.01,2,2,NaN,NaN,685300
2020-12-07T10:20:00+08:00,2,2.01,2,2,NaN,NaN,61200
2020-12-07T10:30:00+08:00,2,2.01,1.99,1.99,NaN,NaN,1075000
2020-12-07T10:40:00+08:00,1.99,2,1.99,2,NaN,NaN,164100
2020-12-07T10:50:00+08:00,1.99,2,1.98,1.98,NaN,NaN,1703900
2020-12-07T11:00:00+08:00,1.98,1.99,1.98,1.99,NaN,NaN,129500
2020-12-07T11:10:00+08:00,1.99,1.99,1.98,1.99,NaN,NaN,97800
2020-12-07T11:20:00+08:00,1.98,1.99,1.98,1.98,NaN,NaN,663600
2020-12-07T11:30:00+08:00,1.99,1.99,1.98,1.98,NaN,NaN,125400
2020-12-07T11:40:00+08:00,1.99,1.99,1.98,1.98,NaN,NaN,103800
2020-12-07T11:50:00+08:00,1.98,1.99,1.98,1.98,NaN,NaN,398200
2020-12-07T12:50:00+08:00,1.98,1.98,1.98,1.98,NaN,NaN,372600
2020-12-07T13:00:00+08:00,1.98,2,1.98,2,1.992,2.021393877,477900
2020-12-07T13:10:00+08:00,2,2,1.99,2,1.9925,2.02231191,638000
2020-12-07T13:20:00+08:00,2,2.01,1.99,2.01,1.9935,2.025355141,1239100
2020-12-07T13:30:00+08:00,2.01,2.01,2,2,1.994,2.026031235,174600
2020-12-07T13:40:00+08:00,2.01,2.01,2,2.01,1.994,2.026031235,125600
2020-12-07T13:50:00+08:00,2.01,2.01,1.99,2.01,1.9945,2.028007462,1619000
2020-12-07T14:00:00+08:00,2,2.01,2,2.01,1.9945,2.028007462,60800
2020-12-07T14:10:00+08:00,2.01,2.01,2,2.01,1.995,2.02985685,124500
2020-12-07T14:20:00+08:00,2,2.01,2,2,1.995,2.02985685,128700
